"Subtitle","Subtitle"
"Show description in subtitle when FLIZpay is selected.","Show description in subtitle when FLIZpay is selected."
"Payment Options","Payment Options"
"Enable Debug Logging","Enable Debug Logging"
"FLIZpay supports one full invoice only.","FLIZpay supports one full invoice only."
"FLIZpay payment has an unexpected existing invoice.","FLIZpay payment has an unexpected existing invoice."
"FLIZpay supports one full offline credit memo only.","FLIZpay supports one full offline credit memo only."
"A FLIZpay credit memo can be created only after payment completion.","A FLIZpay credit memo can be created only after payment completion."
"FLIZpay credit memo adjustments are not supported.","FLIZpay credit memo adjustments are not supported."
"FLIZpay online refunds are not supported. Choose Refund Offline.","FLIZpay online refunds are not supported. Choose Refund Offline."
"This FLIZpay order has already been refunded.","This FLIZpay order has already been refunded."
"FLIZpay full offline credit memo was created. No refund request was sent to FLIZpay.","FLIZpay full offline credit memo was created. No refund request was sent to FLIZpay."
"FLIZpay supports one full offline credit memo only. No refund is sent to FLIZpay; return funds to the customer separately.","FLIZpay supports one full offline credit memo only. No refund is sent to FLIZpay; return funds to the customer separately."
"Warnings and errors are always written to var/log/flizpay.log. Enable to also record verbose debug entries (disable in production).","Warnings and errors are always written to var/log/flizpay.log. Enable to also record verbose debug entries (disable in production)."
"Sort Order","Sort Order"
"Position of FLIZpay in the checkout payment method list. Lower numbers appear first.","Position of FLIZpay in the checkout payment method list. Lower numbers appear first."
"Discount Information","Discount Information"
"Current Discount Rates","Current Discount Rates"
"Current Discount Rates:","Current Discount Rates:"
"First Purchase","First Purchase"
"Standard","Standard"
"No discount is currently configured. Enable discounts in your FLIZpay dashboard to offer savings to your customers.","No discount is currently configured. Enable discounts in your FLIZpay dashboard to offer savings to your customers."
"Configure discount rates in your %1FLIZpay Dashboard%2.","Configure discount rates in your %1FLIZpay Dashboard%2."
"The full FLIZpay configuration, including onboarding instructions, connection status, and a checkout preview, is available under Stores > Configuration > FLIZpay > Settings.","The full FLIZpay configuration, including onboarding instructions, connection status, and a checkout preview, is available under Stores > Configuration > FLIZpay > Settings."
"- Save %1% on your first payment","- Save %1% on your first payment"
"- Save up to %1%","- Save up to %1%"
"- Up to %1% discount","- Up to %1% discount"
"FLIZpay - Save %1% on your first payment","FLIZpay - Save %1% on your first payment"
"FLIZpay - Save up to %1%","FLIZpay - Save up to %1%"
"FLIZpay - Up to %1% discount","FLIZpay - Up to %1% discount"
"FLIZpay Logo","FLIZpay Logo"
"Logo","Logo"
"Subtitle","Subtitle"
"Pay with FLIZ. Stop carrying the hidden cost of payments. The European solution.","Pay with FLIZ. Stop carrying the hidden cost of payments. The European solution."
"Get %1% discount on your first payment, then %2% on every payment after that at %3.","Get %1% discount on your first payment, then %2% on every payment after that at %3."
"Get %1% discount on your first payment at %2.","Get %1% discount on your first payment at %2."
"Get %1% discount on every payment at %2.","Get %1% discount on every payment at %2."
"Learn more.","Learn more."
"Connecting","Connecting"
"Connected","Connected"
"Connection failed","Connection failed"
"Not connected","Not connected"
"Last verified: %1 UTC","Last verified: %1 UTC"
"FLIZpay is waiting for webhook verification.","FLIZpay is waiting for webhook verification."
"Magento could not connect to FLIZpay. Verify the API key and try again.","Magento could not connect to FLIZpay. Verify the API key and try again."
"Payment confirmation","Payment confirmation"
"Payment not completed","Payment not completed"
"We are confirming your payment","We are confirming your payment"
"Your FLIZpay payment is being confirmed. This usually takes only a few seconds.","Your FLIZpay payment is being confirmed. This usually takes only a few seconds."
"Please keep this page open.","Please keep this page open."
"Check payment status","Check payment status"
"Your FLIZpay payment was not completed. Your order has not been marked as paid.","Your FLIZpay payment was not completed. Your order has not been marked as paid."
"Your FLIZpay payment was not completed. Please try again.","Your FLIZpay payment was not completed. Please try again."
"Confirmation is taking longer than expected. You may refresh this page shortly.","Confirmation is taking longer than expected. You may refresh this page shortly."
"Payment return is invalid.","Payment return is invalid."
"FLIZpay payment could not be started.","FLIZpay payment could not be started."
"FLIZpay payment completed.","FLIZpay payment completed."
"FLIZpay reported a failed payment.","FLIZpay reported a failed payment."
"FLIZpay reported a canceled payment.","FLIZpay reported a canceled payment."
